First Name,Last Name,Gender,Discipline,Event(s)/ Position ,Previous Olympic Experience,Gold Medals,Silver Medals,Bronze Medals,Height,Weight,Start of Games,Birth Date,Age (As of 2/8/18),Birthplace,Birth State,Hometown,Home State,Most Recent School,Military (Rank - Branch),Twitter Handle,Kids,Foreign Languages,,,,,,
Stacey,Cook,F,Alpine Skiing,TBD,"2006, 2010, 2014",,,,"5'4""",160,2/8/18,7/3/84,33,Truckee,Calif.,Mammoth Lakes,Calif.,DeVry University,,@staceycookusa,,,,,,,,
Breezy,Johnson,F,Alpine Skiing,TBD,,,,,"5'8""",,2/8/18,1/19/96,22,Jackson,Wyo.,Jackson ,Wyo.,Western Washington University,,@_BreezyJohnson,,,,,,,,
Tricia ,Mangan,F,Alpine Skiing,TBD,,,,,"5'8""",140,2/8/18,3/7/97,20,Buffalo,N.Y.,Buffalo,N.Y.,Dartmouth College,,,,,,,,,,
Megan,McJames,F,Alpine Skiing,TBD,"2010, 2014",,,,"5'6""",135,2/8/18,9/24/87,30,Park City,Utah,Park City,Utah,Westminster College,,,,,,,,,,
Alice,McKennis,F,Alpine Skiing,TBD,2010,,,,"5'6""",158,2/8/18,8/18/89,28,Glenwood Springs,Colo.,New Castle,Colo.,DeVry University,,@AliceMcKennis,,,,,,,,
Alice,Merryweather,F,Alpine Skiing,TBD,,,,,"5'8""",150,2/8/18,10/5/96,28,Boston,Mass.,Hingham,Mass.,Dartmouth College ,,,,,,,,,,
Laurenne,Ross,F,Alpine Skiing,TBD,2014,,,,"5'7""",150,2/8/18,8/17/88,29,Edmonton,Alberta,Bend,Ore.,University of Oregon,,@lalalalaurenne,,,,,,,,
Mikaela,Shiffrin,F,Alpine Skiing,"Giant Slalom, Slalom",2014,1,,,"5'7""",146,2/8/18,3/13/95,22,Vail,Colo.,Eagle-Vail,Colo.,Burke Mountain Academy,,@MikaelaShiffrin,,,,,,,,
Resi,Stiegler,F,Alpine Skiing,TBD,"2006, 2014",,,,"5'7""",135,2/8/18,11/14/85,32,Jackson ,Wyo.,Jackson ,Wyo.,Winter Sports School,,@resistiegler,,,,,,,,
Lindsey,Vonn,F,Alpine Skiing,Super-G,"2002, 2006, 2010",1,,1,"5'10""",140,2/8/18,10/18/84,33,Apple Valley,Minn.,Vail,Colo.,Dartmouth Colllege,,@lindseyvonn,,,,,,,,
Jacqueline,Wiles,F,Alpine Skiing,Will Not Compete,2014,,,,"5'7""",160,2/8/18,7/13/92,25,Portland,Ore.,Portland,Ore.,Westminster College,,@jankylilj,,,,,,,,
Bryce,Bennett,M,Alpine Skiing,Alpine Combined,,,,,"6'7""",220,2/8/18,7/14/92,25,Truckee,Calif.,Tahoe City,Calif.,Westminster College,,,,,,,,,,
Tommy,Biesemeyer,M,Alpine Skiing,Super-G,,,,,"6'0""",190,2/8/18,1/30/89,29,Plattsburgh,N.Y.,Keene,N.Y.,University of Vermont,,@tommybiesemeyer,,German,,,,,,
David,Chodounsky,M,Alpine Skiing,Slalom,2014,,,,"5'11""",185,2/8/18,6/25/84,33,St. Paul,Minn.,Crested Butte,Colo.,Dartmouth College,,,,Czech,,,,,,
Ryan,Cochran-Siegle,M,Alpine Skiing,Alpine Combined,,,,,"6'1""",200,2/8/18,3/27/92,25,Burlington,Va.,Starksboro,Vt.,Westminster College,,,,,,,,,,
Mark,Engel,M,Alpine Skiing,TBD,,,,,"5'9""",175,2/8/18,10/1/91,26,Folsom,Calif.,Truckee,Calif.,Unversity of Utah,,,,,,,,,,
Tommy,Ford,M,Alpine Skiing,TBD,2010,,,,"5'11""",165,2/8/18,3/20/89,28,Hanover,N.H.,Bend,Ore.,Dartmouth College,,@ibetommyford,,,,,,,,
Jared,Goldberg,M,Alpine Skiing,TBD,2014,,,,"6'0""",200,2/8/18,6/17/91,26,Boston,Mass.,Salt Lake City,Utah,Westminster College,,@Jared_Goldberg,,,,,,,,
Tim,Jitloff,M,Alpine Skiing,TBD,2014,,,,"5'11""",195,2/8/18,1/11/85,33,San Jose,Calif.,Reno,Nev.,"University of Nevada, Reno",,@T_Jit,,German,,,,,,
Nolan,Kasper,M,Alpine Skiing,Slalom,"2010, 2014",,,,"5'8""",180,2/8/18,3/27/89,28,Morristown,N.J.,Warren,Vt.,Dartmouth College,,,,,,,,,,
Ted,Ligety,M,Alpine Skiing,TBD,"2006, 2010, 2014",2,,,"5'11""",190,2/8/18,8/31/84,33,Salt Lake City,Utah,Park City,Utah,The Winter Sports School,,@tedligety,Yes,German,,,,,,
Wiley,Maple,M,Alpine Skiing,TBD,,,,,"6'2""",220,2/8/18,5/25/90,27,Minneapolis,Minn.,Aspen,Colo.,Westminster College,,,,,,,,,,
Steven,Nyman,M,Alpine Skiing,Will Not Compete,"2006, 2010, 2014",,,,"6'4""",220,2/8/18,2/12/82,36,Provo,Utah,Sundance,Utah,University of Utah,,@Steven_Nyman,Yes,,,,,,,
