Region,Year,Violence_Victims,Complaints,Funding_EUR,School_Leaving(%),Unemployment_Rate(%)
Andalucía,2020,6813,30847,"€ 15,286,964.44",21.8,22.3
Aragón,2020,725,3277,"€ 4,657,150.64",14.2,11.7
Asturias,2020,622,2650,"€ 2,873,028.43",8.9,14.1
Baleares,2020,1002,5880,"€ 4,142,542.43",21.3,16.1
Canarias,2020,1734,8926,"€ 5,921,683.67",18.2,22.6
Cantabria,2020,407,1668,"€ 1,550,655.41",9.1,12.1
Castilla y Leon,2020,1497,4759,"€ 7,429,731.07",15.4,12.1
Castilla-La Mancha,2020,1501,5541,"€ 6,247,584.28",18.7,17.7
Cataluña,2020,2848,19926,"€ 12,833,544.44",17.4,12.6
Comunitat Valenciana,2020,4473,21954,"€ 8,762,937.13",15.5,16.2
Extremadura,2020,643,2262,"€ 4,610,139.29",18.4,21.8
Galicia,2020,1187,6078,"€ 7,939,202.90",12,12
Madrid,2020,3149,22463,"€ 10,508,794.94",10,12.5
Murcia,2020,1343,6103,"€ 3,411,276.23",18.7,16.2
Navarra,2020,289,1796, NaN ,10.8,10.1
País Vasco,2020,559,5355, NaN ,6.5,9.5
La Rioja,2020,286,768,"€ 1,159,654.07",14.6,10.8
Ceuta,2020,62,228,"€ 1,150,153.38",25.5,24.5
Melilla,2020,75,323,"€ 1,159,654.07",22.8,23.6
Andalucía,2021,6720,33325,"€ 15,086,155.58",17.7,21.86
Aragón,2021,810,4008,"€ 4,208,625.49",13,10.34
Asturias,2021,535,2532,"€ 2,575,160.48",12.2,12.34
Baleares,2021,992,6363,"€ 3,702,089.76",15.4,14.44
Canarias,2021,1825,9002,"€ 5,300,505.62",12,23.52
Cantabria,2021,482,1898,"€ 1,396,068.69",6.3,11.26
Castilla y Leon,2021,1551,5170,"€ 6,658,618.34",12.7,11.62
Castilla-La Mancha,2021,1751,6543,"€ 5,607,872.01",15.5,15.68
Cataluña,2021,2782,21857,"€ 116,666,598.59",14.9,11.7
Comunitat Valenciana,2021,4548,22654,"€ 7,858,128.25",13.2,16.08
Extremadura,2021,685,2592,"€ 4,157,940.88",14.3,20.19
Galicia,2021,1217,6259,"€ 7,091,442.47",8.7,11.54
