"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","FirstEvent","kfold"
23,170,60,0,0,0,0,0,"Judo","Men's -60kg","#E41A1C",17,"Men's -60kg",8
33,193,125,0,0,0,0,0,"Athletics","Men's Hammer Throw","#377EB8",15,"Men's Hammer Throw",6
30,187,76,0,0,0,0,0,"Athletics","Men's 1500m","#377EB8",15,"Men's 1500m",5
26,178,85,1,0,0,0,0,"Athletics","Women's Javelin Throw","#377EB8",15,"Women's Javelin Throw",8
27,182,80,0,0,0,0,0,"Handball","Men's Handball","#FFFF33",16,"Men's Handball",10
30,182,73,1,0,0,0,0,"Rowing","Women's Pair","#4DAF4A",17,"Women's Pair",10
23,187,75,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",7
27,190,80,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8",15,"Men's 110m Hurdles",3
28,173,60,1,0,0,0,0,"Rowing","Women's Single Sculls","#4DAF4A",17,"Women's Single Sculls",10
28,171,64,1,0,0,0,0,"Water Polo","Women's Water Polo","#984EA3",18,"Women's Water Polo",4
22,171,62,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",3
22,175,63,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",10
25,162,69,0,0,0,0,0,"Weightlifting","Men's 69kg","#FF7F00",18,"Men's 69kg",9
25,175,85,0,0,0,0,0,"Weightlifting","Men's 85kg","#FF7F00",18,"Men's 85kg",5
26,171,60,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A",18,"Women's Volleyball",10
34,177,66,0,0,0,0,0,"Athletics","Men's 3000m Steeplechase","#377EB8",15,"Men's 3000m Steeplechase",6
35,180,61,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8",15,"Men's Marathon",6
26,165,55,1,0,0,0,0,"Athletics","Women's 100m","#377EB8",15,"Women's 100m",6
21,170,47,1,0,0,0,0,"Athletics","Women's 5000m","#377EB8",15,"Women's 5000m",3
34,173,84,0,0,0,0,0,"Wrestling","Men's 84kg Freestyle","#FFFF33",18,"Men's 84kg Freestyle",8
22,170,66,0,0,0,0,0,"Wrestling","Men's 66kg Greco-Roman","#FFFF33",18,"Men's 66kg Greco-Roman",7
27,179,82,0,0,0,0,0,"Fencing","Men's Individual Sabre","#984EA3",16,"Men's Individual Sabre",2
20,160,62,1,0,0,1,1,"Diving","Women's 3m Springboard, Women's Synchronised 3m Springboard","#377EB8",16,"Women's 3m Springboard",8
27,177,78,0,0,0,0,0,"Badminton","Men's Singles","#4DAF4A",15,"Men's Singles",6
24,173,53,1,0,0,0,0,"Athletics","Women's Pole Vault","#377EB8",15,"Women's Pole Vault",3
27,168,60,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",7
25,159,54,1,0,0,0,0,"Athletics","Women's 4 x 400m Relay","#377EB8",15,"Women's 4 x 400m Relay",7
20,162,75,1,0,0,0,0,"Weightlifting","Women's 75kg","#FF7F00",18,"Women's 75kg",1
17,170,53,1,0,0,0,0,"Athletics","Women's 4 x 400m Relay","#377EB8",15,"Women's 4 x 400m Relay",6
23,166,68,1,0,0,0,0,"Swimming","Women's 50m Freestyle","#FFFF33",17,"Women's 50m Freestyle",2
31,180,64,0,0,0,0,0,"Athletics","Men's 5000m","#377EB8",15,"Men's 5000m",5
23,152,58,1,0,0,0,0,"Football","Women's Football","#FF7F00",16,"Women's Football",6
21,188,82,0,0,1,0,1,"Fencing","Men's Individual Foil, Men's Team Foil","#984EA3",16,"Men's Individual Foil",1
18,153,55,0,0,0,0,0,"Wrestling","Men's 55kg Greco-Roman","#FFFF33",18,"Men's 55kg Greco-Roman",3
33,182,77,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",6
25,184,78,0,0,0,0,0,"Athletics","Men's 200m","#377EB8",15,"Men's 200m",7
22,172,70,0,0,0,0,0,"Football","Men's Football","#FF7F00",16,"Men's Football",3
34,158,47,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8",15,"Women's Marathon",1
22,162,50,1,0,0,0,0,"Cycling","Women's Cross-country","#E41A1C",16,"Women's Cross-country",9
31,180,68,0,0,0,0,0,"Cycling","Men's Cross-country","#E41A1C",16,"Men's Cross-country",10
21,168,62,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8",15,"Men's Marathon",3
28,168,62,0,0,0,0,0,"Athletics","Men's Marathon","#377EB8",15,"Men's Marathon",7
28,172,72,0,0,0,0,0,"Judo","Men's -73kg","#E41A1C",17,"Men's -73kg",1
31,175,58,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8",18,"Women's Triathlon",5
29,208,110,0,0,0,0,0,"Basketball","Men's Basketball","#984EA3",15,"Men's Basketball",2
31,172,80,0,0,0,0,0,"Shooting","Men's Skeet","#FF7F00",17,"Men's Skeet",1
24,167,52,1,0,0,0,0,"Athletics","Women's 1500m","#377EB8",15,"Women's 1500m",7
19,192,83,1,0,0,0,0,"Basketball","Women's Basketball","#984EA3",15,"Women's Basketball",5
17,175,60,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A",18,"Women's Volleyball",7
27,184,84,0,0,0,0,0,"Wrestling","Men's 84kg Greco-Roman","#FFFF33",18,"Men's 84kg Greco-Roman",6
27,171,72,1,0,0,1,1,"Rowing","Women's Eight","#4DAF4A",17,"Women's Eight",10
31,166,63,1,0,0,0,0,"Weightlifting","Women's 63kg","#FF7F00",18,"Women's 63kg",3
37,188,66,1,0,0,0,0,"Athletics","Women's High Jump","#377EB8",15,"Women's High Jump",7
22,192,89,0,0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay","#FFFF33",17,"Men's 4x100m Freestyle Relay",2
29,162,51,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8",18,"Women's Triathlon",8
27,178,79,0,0,0,0,0,"Athletics","Men's 100m","#377EB8",15,"Men's 100m",7
30,171,73,0,0,0,0,0,"Judo","Men's -73kg","#E41A1C",17,"Men's -73kg",2
