Source,Type,Target,Weight
kuligin,Undirected,kudrjash,2
kuligin,Undirected,shapkin,2
kuligin,Undirected,boris,4
kuligin,Undirected,feklusha,1
kuligin,Undirected,glasha,2
kuligin,Undirected,varvara,2
kuligin,Undirected,dikoj,1
kuligin,Undirected,pervyj_dejstvije_4a,1
kuligin,Undirected,pervyj_dejstvije_4b,1
kuligin,Undirected,zhenschina_4b,1
kuligin,Undirected,katerina,1
kuligin,Undirected,kabanova,3
kuligin,Undirected,kabanov,4
kuligin,Undirected,odin_iz_naroda_5a,1
kuligin,Undirected,neskolko_golosov,1
kuligin,Undirected,odin_iz_naroda_5b,1
kuligin,Undirected,drugoj,1
kuligin,Undirected,tretij,1
kudrjash,Undirected,shapkin,2
kudrjash,Undirected,boris,5
kudrjash,Undirected,feklusha,1
kudrjash,Undirected,varvara,3
kudrjash,Undirected,katerina,2
shapkin,Undirected,boris,1
shapkin,Undirected,feklusha,1
dikoj,Undirected,boris,1
dikoj,Undirected,kabanova,1
dikoj,Undirected,kabanov,1
dikoj,Undirected,glasha,1
dikoj,Undirected,pervyj_dejstvije_4a,1
boris,Undirected,feklusha,1
boris,Undirected,glasha,1
boris,Undirected,varvara,6
boris,Undirected,katerina,4
boris,Undirected,pervyj_dejstvije_4b,1
boris,Undirected,zhenschina_4b,1
boris,Undirected,kabanova,1
boris,Undirected,kabanov,1
feklusha,Undirected,glasha,1
feklusha,Undirected,kabanova,1
kabanova,Undirected,kabanov,10
kabanova,Undirected,varvara,5
kabanova,Undirected,katerina,5
kabanova,Undirected,glasha,1
kabanova,Undirected,pervyj_dejstvije_4b,1
kabanova,Undirected,zhenschina_4b,1
kabanova,Undirected,zhenschina_4c,1
kabanova,Undirected,pervyj_dejstvije_4c,1
kabanova,Undirected,vtoroj_dejstvije_4b,1
kabanova,Undirected,barynja,1
kabanova,Undirected,odin_iz_naroda_5a,1
kabanova,Undirected,neskolko_golosov,1
kabanova,Undirected,odin_iz_naroda_5b,1
kabanova,Undirected,drugoj,1
kabanova,Undirected,tretij,1
kabanova,Undirected,pervyj_dejstvije_5,1
kabanova,Undirected,vtoroj_dejstvije_5,1
kabanova,Undirected,odin_iz_vozvrativshihsja,1
kabanova,Undirected,drugoj_iz_vozvrativshihsja,1
kabanov,Undirected,varvara,5
kabanov,Undirected,katerina,6
kabanov,Undirected,glasha,2
kabanov,Undirected,pervyj_dejstvije_4b,1
kabanov,Undirected,zhenschina_4b,1
kabanov,Undirected,zhenschina_4c,1
kabanov,Undirected,pervyj_dejstvije_4c,1
kabanov,Undirected,vtoroj_dejstvije_4b,1
kabanov,Undirected,barynja,1
kabanov,Undirected,odin_iz_naroda_5a,1
kabanov,Undirected,neskolko_golosov,1
kabanov,Undirected,odin_iz_naroda_5b,1
kabanov,Undirected,drugoj,1
kabanov,Undirected,tretij,1
kabanov,Undirected,pervyj_dejstvije_5,1
kabanov,Undirected,vtoroj_dejstvije_5,1
kabanov,Undirected,odin_iz_vozvrativshihsja,1
kabanov,Undirected,drugoj_iz_vozvrativshihsja,1
varvara,Undirected,katerina,12
varvara,Undirected,pervyj_dejstvije_4b,1
varvara,Undirected,zhenschina_4b,1
varvara,Undirected,zhenschina_4c,1
varvara,Undirected,pervyj_dejstvije_4c,1
varvara,Undirected,vtoroj_dejstvije_4b,1
varvara,Undirected,barynja,1
katerina,Undirected,pervyj_dejstvije_4b,1
katerina,Undirected,zhenschina_4b,1
katerina,Undirected,zhenschina_4c,1
katerina,Undirected,pervyj_dejstvije_4c,1
katerina,Undirected,vtoroj_dejstvije_4b,1
katerina,Undirected,barynja,1
pervyj_dejstvije_4a,Undirected,vtoroj_dejstvije_4a,1
pervyj_dejstvije_4a,Undirected,zhenschina_4a,1
vtoroj_dejstvije_4a,Undirected,zhenschina_4a,1
pervyj_dejstvije_4b,Undirected,zhenschina_4b,1
zhenschina_4c,Undirected,pervyj_dejstvije_4c,1
zhenschina_4c,Undirected,vtoroj_dejstvije_4b,1
pervyj_dejstvije_4c,Undirected,vtoroj_dejstvije_4b,1
odin_iz_naroda_5a,Undirected,neskolko_golosov,1
odin_iz_naroda_5a,Undirected,odin_iz_naroda_5b,1
odin_iz_naroda_5a,Undirected,drugoj,1
odin_iz_naroda_5a,Undirected,tretij,1
neskolko_golosov,Undirected,odin_iz_naroda_5b,1
neskolko_golosov,Undirected,drugoj,1
neskolko_golosov,Undirected,tretij,1
odin_iz_naroda_5b,Undirected,drugoj,1
odin_iz_naroda_5b,Undirected,tretij,1
drugoj,Undirected,tretij,1
pervyj_dejstvije_5,Undirected,vtoroj_dejstvije_5,1
pervyj_dejstvije_5,Undirected,odin_iz_vozvrativshihsja,1
pervyj_dejstvije_5,Undirected,drugoj_iz_vozvrativshihsja,1
vtoroj_dejstvije_5,Undirected,odin_iz_vozvrativshihsja,1
vtoroj_dejstvije_5,Undirected,drugoj_iz_vozvrativshihsja,1
odin_iz_vozvrativshihsja,Undirected,drugoj_iz_vozvrativshihsja,1
