Source,Type,Target,Weight
lizanka,Undirected,sofija,13
lizanka,Undirected,famusov,2
lizanka,Undirected,molchalin,4
lizanka,Undirected,chatskij,6
lizanka,Undirected,skalozub,1
sofija,Undirected,famusov,4
sofija,Undirected,molchalin,5
sofija,Undirected,chatskij,13
sofija,Undirected,skalozub,4
sofija,Undirected,grafinja_vnuchka,2
sofija,Undirected,zagoretskij,2
sofija,Undirected,platon_mihajlovich,2
sofija,Undirected,hlestova,2
sofija,Undirected,gn,1
sofija,Undirected,natalja_dmitrievna,1
sofija,Undirected,grafinja_babushka,1
sofija,Undirected,knjaz,1
sofija,Undirected,knjaginja,1
sofija,Undirected,pervaja_knjazhna,1
sofija,Undirected,vtoraja_knjazhna,1
sofija,Undirected,tretja_knjazhna,1
sofija,Undirected,chetviortaja_knjazhna,1
sofija,Undirected,pjataja_knjazhna,1
sofija,Undirected,shestaja_knjazhna,1
sofija,Undirected,lakej_chatskogo,1
famusov,Undirected,molchalin,4
famusov,Undirected,chatskij,6
famusov,Undirected,sluga_2-3,1
famusov,Undirected,skalozub,4
famusov,Undirected,hlestova,4
famusov,Undirected,platon_mihajlovich,2
famusov,Undirected,natalja_dmitrievna,2
famusov,Undirected,grafinja_vnuchka,2
famusov,Undirected,zagoretskij,2
famusov,Undirected,knjaginja,2
famusov,Undirected,grafinja_babushka,1
famusov,Undirected,knjaz,1
famusov,Undirected,pervaja_knjazhna,1
famusov,Undirected,vtoraja_knjazhna,1
famusov,Undirected,tretja_knjazhna,1
famusov,Undirected,chetviortaja_knjazhna,1
famusov,Undirected,pjataja_knjazhna,1
famusov,Undirected,shestaja_knjazhna,1
molchalin,Undirected,skalozub,4
molchalin,Undirected,chatskij,4
molchalin,Undirected,hlestova,3
molchalin,Undirected,platon_mihajlovich,2
molchalin,Undirected,natalja_dmitrievna,2
molchalin,Undirected,grafinja_vnuchka,2
molchalin,Undirected,zagoretskij,2
molchalin,Undirected,knjaginja,2
molchalin,Undirected,grafinja_babushka,1
molchalin,Undirected,knjaz,1
molchalin,Undirected,pervaja_knjazhna,1
molchalin,Undirected,vtoraja_knjazhna,1
molchalin,Undirected,tretja_knjazhna,1
molchalin,Undirected,chetviortaja_knjazhna,1
molchalin,Undirected,pjataja_knjazhna,1
molchalin,Undirected,shestaja_knjazhna,1
chatskij,Undirected,sluga_2-3,1
chatskij,Undirected,skalozub,5
chatskij,Undirected,natalja_dmitrievna,3
chatskij,Undirected,platon_mihajlovich,3
chatskij,Undirected,grafinja_vnuchka,3
chatskij,Undirected,knjaginja,2
chatskij,Undirected,zagoretskij,2
chatskij,Undirected,hlestova,2
chatskij,Undirected,grafinja_babushka,1
chatskij,Undirected,knjaz,1
chatskij,Undirected,pervaja_knjazhna,1
chatskij,Undirected,vtoraja_knjazhna,1
chatskij,Undirected,tretja_knjazhna,1
chatskij,Undirected,chetviortaja_knjazhna,1
chatskij,Undirected,pjataja_knjazhna,1
chatskij,Undirected,shestaja_knjazhna,1
chatskij,Undirected,lakej_chatskogo,2
chatskij,Undirected,repetilov,2
chatskij,Undirected,lakej_4-4,1
skalozub,Undirected,hlestova,3
skalozub,Undirected,platon_mihajlovich,2
skalozub,Undirected,natalja_dmitrievna,2
