Source,Type,Target,Weight
gorodnichij,Undirected,ammos_fedorovich_ljapkin_tjapkin,5
gorodnichij,Undirected,artemij_filippovich_zemljanika,6
gorodnichij,Undirected,luka_lukich,7
gorodnichij,Undirected,lekar,2
gorodnichij,Undirected,pochtmejster,3
gorodnichij,Undirected,bobchinskij,6
gorodnichij,Undirected,dobchinskij,4
gorodnichij,Undirected,chastnyj_pristav,4
gorodnichij,Undirected,svistunov,2
gorodnichij,Undirected,anna_andreevna,10
gorodnichij,Undirected,marja_antonovna,6
gorodnichij,Undirected,hlestakov,7
gorodnichij,Undirected,sluga,1
gorodnichij,Undirected,osip,2
gorodnichij,Undirected,derzhimorda,1
gorodnichij,Undirected,golos_jamschika,1
gorodnichij,Undirected,kuptsy,2
gorodnichij,Undirected,odin_iz_kuptsov,1
gorodnichij,Undirected,zhena_luki_lukicha,2
gorodnichij,Undirected,mnogie_iz_gostej,2
gorodnichij,Undirected,zhena_korobkina,2
gorodnichij,Undirected,korobkin,2
gorodnichij,Undirected,rastakovskij,2
gorodnichij,Undirected,gostja,2
gorodnichij,Undirected,ljuljukov,1
gorodnichij,Undirected,odna_iz_dam,1
ammos_fedorovich_ljapkin_tjapkin,Undirected,artemij_filippovich_zemljanika,6
ammos_fedorovich_ljapkin_tjapkin,Undirected,luka_lukich,5
ammos_fedorovich_ljapkin_tjapkin,Undirected,lekar,2
ammos_fedorovich_ljapkin_tjapkin,Undirected,pochtmejster,4
ammos_fedorovich_ljapkin_tjapkin,Undirected,bobchinskij,4
ammos_fedorovich_ljapkin_tjapkin,Undirected,dobchinskij,4
ammos_fedorovich_ljapkin_tjapkin,Undirected,chastnyj_pristav,3
ammos_fedorovich_ljapkin_tjapkin,Undirected,svistunov,1
ammos_fedorovich_ljapkin_tjapkin,Undirected,hlestakov,1
ammos_fedorovich_ljapkin_tjapkin,Undirected,rastakovskij,3
ammos_fedorovich_ljapkin_tjapkin,Undirected,anna_andreevna,2
ammos_fedorovich_ljapkin_tjapkin,Undirected,marja_antonovna,2
ammos_fedorovich_ljapkin_tjapkin,Undirected,mnogie_iz_gostej,2
ammos_fedorovich_ljapkin_tjapkin,Undirected,zhena_korobkina,2
ammos_fedorovich_ljapkin_tjapkin,Undirected,korobkin,2
ammos_fedorovich_ljapkin_tjapkin,Undirected,gostja,2
ammos_fedorovich_ljapkin_tjapkin,Undirected,kuptsy,1
ammos_fedorovich_ljapkin_tjapkin,Undirected,ljuljukov,1
ammos_fedorovich_ljapkin_tjapkin,Undirected,zhena_luki_lukicha,1
ammos_fedorovich_ljapkin_tjapkin,Undirected,odna_iz_dam,1
artemij_filippovich_zemljanika,Undirected,luka_lukich,7
artemij_filippovich_zemljanika,Undirected,lekar,2
artemij_filippovich_zemljanika,Undirected,bobchinskij,6
artemij_filippovich_zemljanika,Undirected,dobchinskij,5
artemij_filippovich_zemljanika,Undirected,pochtmejster,3
artemij_filippovich_zemljanika,Undirected,chastnyj_pristav,3
artemij_filippovich_zemljanika,Undirected,svistunov,1
artemij_filippovich_zemljanika,Undirected,hlestakov,3
artemij_filippovich_zemljanika,Undirected,anna_andreevna,3
artemij_filippovich_zemljanika,Undirected,marja_antonovna,3
artemij_filippovich_zemljanika,Undirected,rastakovskij,3
artemij_filippovich_zemljanika,Undirected,mnogie_iz_gostej,2
artemij_filippovich_zemljanika,Undirected,zhena_korobkina,2
