Source,Type,Target,Weight
Olga,Undirected,Irina,15
Olga,Undirected,Chebutykin,7
Olga,Undirected,Tuzenbah,5
Olga,Undirected,Solenyj,4
Olga,Undirected,Masha,12
Olga,Undirected,Anfisa,4
Olga,Undirected,Ferapont,2
Olga,Undirected,Vershinin,8
Olga,Undirected,Andrej,4
Olga,Undirected,Kulygin,8
Olga,Undirected,Natasha,3
Irina,Undirected,Chebutykin,16
Irina,Undirected,Tuzenbah,20
Irina,Undirected,Solenyj,9
Irina,Undirected,Masha,20
Irina,Undirected,Anfisa,4
Irina,Undirected,Ferapont,1
Irina,Undirected,Vershinin,12
Irina,Undirected,Andrej,4
Irina,Undirected,Kulygin,11
Irina,Undirected,Natasha,5
Irina,Undirected,Fedotik,5
Irina,Undirected,Rode,3
Chebutykin,Undirected,Tuzenbah,12
Chebutykin,Undirected,Solenyj,6
Chebutykin,Undirected,Masha,13
Chebutykin,Undirected,Vershinin,7
Chebutykin,Undirected,Andrej,7
Chebutykin,Undirected,Kulygin,7
Chebutykin,Undirected,Natasha,3
Chebutykin,Undirected,Fedotik,3
Chebutykin,Undirected,Rode,2
Chebutykin,Undirected,Anfisa,1
Tuzenbah,Undirected,Solenyj,7
Tuzenbah,Undirected,Masha,14
Tuzenbah,Undirected,Anfisa,2
Tuzenbah,Undirected,Vershinin,8
Tuzenbah,Undirected,Kulygin,5
Tuzenbah,Undirected,Fedotik,3
Tuzenbah,Undirected,Rode,2
Tuzenbah,Undirected,Natasha,2
Tuzenbah,Undirected,Andrej,2
Solenyj,Undirected,Masha,6
Solenyj,Undirected,Vershinin,5
Solenyj,Undirected,Kulygin,2
Solenyj,Undirected,Natasha,3
Solenyj,Undirected,Andrej,2
Solenyj,Undirected,Fedotik,1
Solenyj,Undirected,Anfisa,1
Masha,Undirected,Vershinin,11
Masha,Undirected,Andrej,5
Masha,Undirected,Kulygin,8
Masha,Undirected,Natasha,3
Masha,Undirected,Fedotik,4
Masha,Undirected,Rode,3
Masha,Undirected,Anfisa,1
Anfisa,Undirected,Ferapont,1
Anfisa,Undirected,Vershinin,2
Anfisa,Undirected,Fedotik,1
Anfisa,Undirected,Natasha,1
Anfisa,Undirected,Andrej,1
Ferapont,Undirected,Andrej,5
Ferapont,Undirected,Natasha,1
Vershinin,Undirected,Andrej,2
Vershinin,Undirected,Kulygin,5
Vershinin,Undirected,Natasha,2
Vershinin,Undirected,Fedotik,2
Vershinin,Undirected,Rode,1
Andrej,Undirected,Kulygin,1
Andrej,Undirected,Natasha,4
Kulygin,Undirected,Natasha,2
Kulygin,Undirected,Fedotik,2
Kulygin,Undirected,Rode,2
Natasha,Undirected,Fedotik,1
Fedotik,Undirected,Rode,4
