Source,Type,Target,Weight
dunechka,Undirected,lipa,1
dunechka,Undirected,vassa,2
dunechka,Undirected,dunja,1
dunechka,Undirected,mihail,2
dunechka,Undirected,pavel,2
dunechka,Undirected,natalja,2
dunechka,Undirected,semen,2
dunechka,Undirected,prohor,2
dunechka,Undirected,ljudmila,2
dunechka,Undirected,anna,2
dunechka,Undirected,anisja,1
lipa,Undirected,vassa,2
lipa,Undirected,dunja,1
lipa,Undirected,mihail,2
lipa,Undirected,pavel,2
lipa,Undirected,natalja,2
lipa,Undirected,semen,2
lipa,Undirected,prohor,2
lipa,Undirected,ljudmila,2
lipa,Undirected,anna,2
vassa,Undirected,dunja,1
vassa,Undirected,mihail,3
vassa,Undirected,pavel,3
vassa,Undirected,natalja,3
vassa,Undirected,semen,3
vassa,Undirected,prohor,3
vassa,Undirected,ljudmila,3
vassa,Undirected,anna,3
vassa,Undirected,anisja,1
dunja,Undirected,mihail,1
dunja,Undirected,pavel,1
dunja,Undirected,natalja,1
dunja,Undirected,semen,1
dunja,Undirected,prohor,1
dunja,Undirected,ljudmila,1
dunja,Undirected,anna,1
mihail,Undirected,pavel,3
mihail,Undirected,natalja,3
mihail,Undirected,semen,3
mihail,Undirected,prohor,3
mihail,Undirected,ljudmila,3
mihail,Undirected,anna,3
mihail,Undirected,anisja,1
pavel,Undirected,natalja,3
pavel,Undirected,semen,3
pavel,Undirected,prohor,3
pavel,Undirected,ljudmila,3
pavel,Undirected,anna,3
pavel,Undirected,anisja,1
natalja,Undirected,semen,3
natalja,Undirected,prohor,3
natalja,Undirected,ljudmila,3
natalja,Undirected,anna,3
natalja,Undirected,anisja,1
semen,Undirected,prohor,3
semen,Undirected,ljudmila,3
semen,Undirected,anna,3
semen,Undirected,anisja,1
prohor,Undirected,ljudmila,3
prohor,Undirected,anna,3
prohor,Undirected,anisja,1
ljudmila,Undirected,anna,3
ljudmila,Undirected,anisja,1
anna,Undirected,anisja,1
