Rank,Ordinal Rank,University Name,Overall Score,City,Country,Citations per Paper,Papers per Faculty,Academic Reputation,Faculty Student Ratio,Staff with PhD,International Research Center,International Students,Outbound Exchange,Inbound Exchange,International Faculty,Employer Reputation
1,1,Peking University,100,Beijing,China,96.4,79.8,100,98.6,90.7,98,69.1,100,88.5,83.2,100
2,2,The University of Hong Kong,99.7,Pokfulam,Hong Kong,99.5,55,100,93.3,97.4,98.4,100,100,99.8,100,96.8
3,3,National University of Singapore (NUS),98.9,Singapore,Singapore,99.9,57.4,100,85.8,82.5,99.9,99.2,97.6,93.4,100,99.9
4,4,Nanyang Technological University,98.3,Singapore,Singapore,100,53.8,100,93,67,99.7,98.8,97.9,90.5,100,98.8
5,5,Fudan University,97.2,Shanghai,China,92.1,63.1,99.8,92.5,73.4,92.1,81,94.9,99.5,98.9,99.5
6,6,The Chinese University of Hong Kong (CUHK),96.7,Sha Tin,Hong Kong,99.6,61.5,99.9,84,80.3,96,99.4,96.1,100,100,91.5
7,7,Tsinghua University,96.3,Beijing,China,98.6,80.8,100,99,96.9,97.9,51.7,59.6,15.9,46,100
8,8,Zhejiang University,96,Hangzhou,China,86,96.2,99.3,54.2,95.1,99.9,66.4,100,100,99.7,99.9
9,9,Yonsei University,95.4,Seoul,South Korea,78.2,45.3,99.8,94.8,98.4,97.7,90.9,68.4,100,50.5,100
10,10,City University of Hong Kong (CityUHK),95.3,Kowloon,Hong Kong,99.8,91.4,96.6,97.7,97.7,88.9,100,100,100,100,74
11,11,The Hong Kong University of Science and Technology,95.1,Clear Water Bay,Hong Kong,99.9,77.8,99.7,76.6,94.3,70.6,99.8,100,98.8,100,92.3
12,12,Universiti Malaya (UM),94.8,Kuala Lumpur,Malaysia,67.5,37,99.7,92.1,84.9,99.9,94.2,94.3,99,89.4,99.9
13,13,Korea University,94.5,Seoul,South Korea,89.4,41.8,99.5,87.7,93.7,91.1,85.7,81.4,100,40.6,99.9
14,14,Shanghai Jiao Tong University,93.2,Shanghai,China,76.7,96.3,99.8,79.1,61.9,95.8,67.6,65.9,100,43.2,99.4
15,15,KAIST - Korea Advanced Institute of Science & Technology,92.4,Daejeon,South Korea,89.1,83.1,99.9,79.5,98.3,70.6,45.5,67.3,81.1,51.2,99.7
16,16,Sungkyunkwan University (SKKU),92.1,Suwon,South Korea,80.5,42,96.2,92.9,97.9,80.3,83.6,99.4,100,44.9,96.8
17,17,The Hong Kong Polytechnic University,92,Kowloon,Hong Kong,99.9,60.3,98.2,83.1,64.9,97.8,99.6,90.4,73,100,78.8
18,18,Seoul National University,91.8,Seoul,South Korea,69.3,69,100,94.2,79,95.6,56.4,40.4,78.2,30.5,100
19,19,Hanyang University,89.1,Seoul,South Korea,80,34.3,89.4,91.1,79.7,89,91.6,73.7,97.1,44.8,98.3
20,20,Universiti Putra Malaysia (UPM),89,Serdang,Malaysia,42.7,41.9,96.2,77.5,96.8,98.2,99.7,100,100,70.9,94.3
21,21,The University of Tokyo,88.6,Tokyo,Japan,35.8,72.6,100,97,87.8,99.5,76,37.8,24.9,29.5,100
22,22,Pohang University of Science And Technology (POSTECH),88.1,Pohang ,South Korea,92.3,82.2,91.1,100,98.6,36.5,14,75.5,91.8,60.8,98.3
23,23,Kyoto University,88,Kyoto,Japan,42,55.8,100,98.7,90.4,99.3,62.3,10.5,24.8,42,100
24,24,Nanjing University,86.5,Nanjing,China,97.4,69.1,95.4,61.6,74.3,92,35.6,92,95.8,90.2,73.4
25,25,Tohoku University,86.4,Sendai City,Japan,20.1,51.4,99,99.7,89.3,92.9,46.9,76.6,57,38.5,99
26,26,National Taiwan University (NTU),85.5,Taipei,Taiwan,61.2,52,100,43.1,85.1,94.7,72.4,38.6,73,43.4,99.8
27,26,Universiti Kebangsaan Malaysia (UKM),85.5,Bangi,Malaysia,29.8,35.6,96.7,89.8,91,98.9,97.5,37.1,29.6,79.7,95.7
28,28,Universiti Teknologi Malaysia,84.8,Skudai,Malaysia,47.4,54.4,90.7,66.9,85.6,98.8,99.1,73.7,90.1,38.4,93.4
29,29,Al-Farabi Kazakh National University,84.6,Almaty,Kazakhstan,2,5.3,94.4,99.9,95.5,90.3,90.4,100,98.8,82.3,98.7
30,30,Tokyo Institute of Technology (Tokyo Tech),84.2,Tokyo,Japan,19.1,73.7,99.2,94.7,71.1,87.4,76.8,9,22.2,54.9,99.9
31,31,University of Science and Technology of China,84,Hefei,China,98,77,92.4,99.8,41.3,96.7,26.3,91.9,33.6,33,66.3
32,32,Nagoya University,82.6,Nagoya,Japan,21.7,52.2,97.4,95,89.3,90.4,63.3,11.8,27.9,39.3,95.5
33,32,Osaka University,82.6,Osaka City,Japan,20.4,81.9,99.7,49.3,93.3,92.8,48.9,42.4,46.8,55.6,99.4
34,34,Kyushu University,82,Fukuoka City,Japan,24.2,53.6,95.8,90.5,95.1,93.8,56.6,6.5,6.2,47.2,95.7
35,35,Hokkaido University,81.8,Sapporo,Japan,27.8,49.1,96.1,90.5,87.2,97.4,48.6,6.5,6.2,47.2,94.7
36,36,Taylor's University,81.3,Subang Jaya,Malaysia,95.7,15.1,73.3,98.8,14,62.5,100,100,92.1,91.6,98.5
37,37,Universiti Sains Malaysia (USM),80.8,Gelugor,Malaysia,27.5,44.3,96.9,63.1,54.2,99.6,99.8,40.8,29,56.1,96.6
38,38,Wuhan University,80.5,Wuhan,China,93.7,72.8,85,26.2,88.5,97.5,25.1,91.9,38.6,74,82.8
39,39,National Tsing Hua University - NTHU,78.4,Hsinchu City,Taiwan,44.6,72.7,94.7,46.5,94.4,68.1,51.2,33.3,30.3,28,96.9
40,40,Kyung Hee University,77.5,Seoul,South Korea,72.9,22.3,66.8,93.7,94.4,80.6,91.8,97.5,98.8,38.8,80.1
41,41,National Cheng Kung University (NCKU),77.4,Tainan City,Taiwan,37.6,37.3,93.5,53.1,81.8,85.1,52.8,34.1,13,42.8,97.6
42,42,National Yang Ming Chiao Tung University (NYCU),76.9,Hsinchu City,Taiwan,28.7,74.5,78.7,71.7,96.8,79.7,62.6,48.1,46,48.7,94.5
43,43,Tongji University,76.2,Shanghai,China,79.2,89.8,77.4,47.8,76.1,95.4,72.6,100,98.4,86,54.1
44,44,Indian Institute of Technology Delhi (IITD),75.4,New Delhi,India,26.9,95.2,95,27.2,94.7,89.2,5.3,9.7,2.7,9.1,99
45,45,UCSI University,75.1,Kuala Lumpur,Malaysia,48.4,10.9,72.4,97.6,21,56.3,99.9,100,100,99,94.9
46,46,Universitas Indonesia,74.7,Depok,Indonesia,1.5,17.4,95.2,85.9,10.6,55.5,31.6,100,100,98.8,98
47,47,Chulalongkorn University,73.7,Bangkok,Thailand,31.2,18.5,98.3,51.1,78,98,15.8,28.2,26.2,47.1,79
48,48,Indian Institute of Technology Bombay (IITB),73.1,Mumbai,India,16.9,96.2,96.6,17.9,96.3,78,3.6,6.4,6.9,13.1,99.5
49,48,Keio University,73.1,Tokyo,Japan,18,15.5,93.8,77,3.3,83.8,43.7,30.5,42.9,27.8,99.8
50,48,Sun Yat-sen University,73.1,Guangzhou,China,91.2,42.3,77.4,67.2,93.3,97.3,18.8,5.4,1.2,5.9,70.9
51,51,Waseda University,72.8,Tokyo,Japan,10.7,13.4,96.5,40.4,18.1,91.5,74.3,46.6,36.6,61.2,99.9
52,52,Airlangga University,70.5,Surabaya,Indonesia,1.4,10,85.1,82.4,9.7,60.7,31.9,86.9,93.1,88.2,97.8
