country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Aruba,ABW,1999,782000000.0,972000.0,62.542949184803,,9.49538738257672,1722905027.93296,2.28037198258753,
Africa Eastern and Southern,AFE,1999,8034209108.0477,15309377.8420342,12.204030084827,,7.76053600068794,265429291101.256,7.81986477630863,
Afghanistan,AFG,1999,,,,,,,,
Africa Western and Central,AFW,1999,1443612846.65482,3897975.03054576,3.97447599011214,,6.14729140864185,139468349993.665,0.372266170311928,
Angola,AGO,1999,31000000.0,45000.0,0.583858020796646,,2.48963819595907,6152923310.44546,248.195902412868,
Albania,ALB,1999,218000000.0,371000.0,55.9691912708601,,3.69900655252589,3212121650.97755,0.389437653561617,18.4
Andorra,AND,1999,,9422000.0,,,,1240295198.78331,,
Arab World,ARB,1999,,,,,,665415371173.92,2.66937369053699,
United Arab Emirates,ARE,1999,893000000.0,,,,,84445473110.9598,,
Argentina,ARG,1999,3175000000.0,2898000.0,11.3403716663803,,15.8890915730279,283523000000.0,,14.05
Armenia,ARM,1999,47000000.0,41000.0,12.1823925006259,,5.64556729384852,1845482173.02732,0.648245760470385,11.2
American Samoa,ASM,1999,,41000.0,,,,,,
Antigua and Barbuda,ATG,1999,,560000.0,,,,835514814.814815,1.12128789571146,
Australia,AUS,1999,11408000000.0,4459000.0,15.2472278149506,3210000.0,10.3624643864898,389652212056.649,1.48312940304041,6.876
Austria,AUT,1999,12358000000.0,17467000.0,,,,216421809125.916,0.568993765885568,4.699
Azerbaijan,AZE,1999,93000000.0,602000.0,7.25417134352713,1204000.0,7.76645184695607,4581248566.50158,-8.52517000536064,16.25
Burundi,BDI,1999,1200000.04768372,26000.0,2.01936435859824,27000.0,,808077223.365746,3.38542427340455,14.0
Belgium,BEL,1999,,6369000.0,,6410000.0,,258245733221.468,1.12084823417845,8.649
Benin,BEN,1999,94400001.5258789,941000.0,15.7720889749429,,7.40481988818893,3677393998.74486,0.326722893396852,
Burkina Faso,BFA,1999,,117000.0,,,,3389566712.66037,-1.07261362759534,
Bangladesh,BGD,1999,,173000.0,,1103000.0,4.19827606823103,51270569883.5275,6.10669589841958,
Bulgaria,BGR,1999,1184000000.0,5056000.0,20.4322005508379,2376000.0,11.3846177610722,13627325461.1743,2.57304281890206,14.1
Bahrain,BHR,1999,785000000.0,3280000.0,15.033403511688,,9.47527792358457,7528469148.93617,-1.2875879718491,
"Bahamas, The",BHS,1999,1598000000.0,3648000.0,72.3928603787261,,11.8737551708289,7683870000.0,1.2542482602363,7.45
Bosnia and Herzegovina,BIH,1999,258000000.0,147000.0,19.9156145188357,,2.28850801574026,4686256363.04707,,
Belarus,BLR,1999,92000000.0,,1.43756738597122,,1.99843731217694,12138243080.6258,293.678750889773,2.1
Belize,BLZ,1999,,340000.0,,,8.29579210754185,1000250000.0,2.62139524582746,12.84
Bermuda,BMU,1999,,549000.0,,,,3324433000.0,,
Bolivia,BOL,1999,124000000.0,342000.0,9.46131542804822,253000.0,5.88324030773872,8285064434.56826,2.15951626835598,3.93
Brazil,BRA,1999,1718000000.0,5107000.0,3.15258271554129,2863000.0,5.50654159852086,599642024319.531,4.85844749902667,11.125
Barbados,BRB,1999,734000000.0,947000.0,58.1080347116836,,9.75938655075125,2951822204.54432,1.56006240249605,10.61
Brunei Darussalam,BRN,1999,,967000.0,,,,6309070374.83966,-0.415627597672454,
Bhutan,BTN,1999,9000000.0,7199.99980926514,,,,399311199.50776,6.77699393553632,1.4
Botswana,BWA,1999,239000000.0,1039000.0,7.99500163230401,,6.48125345862757,5484263346.88105,7.74929619202848,
Central African Republic,CAF,1999,8000000.0,10000.0,,,,999477510.686632,-1.41420220082551,
Canada,CAN,1999,12024000000.0,49055000.0,4.24503233197878,,5.40184731174687,678412196271.118,1.73484295105918,7.583
Central Europe and the Baltics,CEB,1999,20282583054.1823,200062962.010076,14.1328669244884,103358915.15008,6.42736969155193,435931046765.369,4.01913875598086,10.4170865946518
Switzerland,CHE,1999,9135000000.0,7154000.0,7.5151400532055,,7.22500270705198,297873643323.126,0.806444380959449,3.053
Channel Islands,CHI,1999,,,,,,6262740656.85164,,
Chile,CHL,1999,1243000000.0,,5.91024854973688,,5.33573483141307,75578685735.5219,3.33687917526016,11.158
China,CHN,1999,15006000000.0,72796000.0,10.0117424141336,9232000.0,9.74564544669289,1094003874937.34,-1.40147268276465,3.1
Cote d'Ivoire,CIV,1999,107000000.0,,,,,18870992455.568,0.70237580595596,
Cameroon,CMR,1999,92000000.0,,4.22294563528364,,9.37073365542233,11565826464.8921,1.87174500672008,
"Congo, Dem. Rep.",COD,1999,,80000.0,,50000.0,,4711259427.27273,284.894975914087,
"Congo, Rep.",COG,1999,13500000.0,,0.79098011964422,,5.10144944170162,2354772960.28296,4.14267137284048,
Colombia,COL,1999,1231000000.0,725000.0,8.83044689708908,1098000.0,10.0158366908174,86278947636.962,10.8736870857471,20.06
Comoros,COM,1999,19000000.0,24000.0,,,,382454989.945311,,
Cabo Verde,CPV,1999,56000000.0,67000.0,45.1170822760219,,13.4425390437261,592416703.058878,4.35643374510453,
Costa Rica,CRI,1999,1256000000.0,1267000.0,20.1954893578087,353000.0,9.84907289214016,14254866284.6542,10.0452817292494,
Caribbean small states,CSS,1999,5220376078.73985,9901109.40611303,57.8885357893164,,10.9740986460168,16585437189.6651,1.56006240249605,
Cuba,CUB,1999,1901000000.0,1603000.0,,97000.0,,28364615200.0,,6.26
Curacao,CUW,1999,260000000.0,433000.0,,,,,,
Cayman Islands,CYM,1999,525000000.0,1431000.0,,,,,,
Cyprus,CYP,1999,2115000000.0,2578000.0,42.7509955418637,540000.0,11.5009547225479,10497907227.616,1.62999999999999,5.532
Czechia,CZE,1999,,,,,,65586562604.8621,2.13544844417331,8.702
Germany,DEU,1999,25327000000.0,17116000.0,4.38886162828189,78100000.0,10.8393479009007,2213873468586.88,0.585433064230783,8.854
Djibouti,DJI,1999,7600000.0,21000.0,3.79916629162916,,4.47485059213192,536080148.097299,,
Dominica,DMA,1999,51000000.0,280000.0,32.5239737351789,,,331759259.259259,1.17947787394175,15.67
Denmark,DNK,1999,3698000000.0,,5.30041481711759,4744000.0,7.96198591305578,177887720535.535,2.4977954440453,5.142
Dominican Republic,DOM,1999,2483000000.0,2932000.0,48.1883284491626,363000.0,6.05750759124992,22136579396.9218,6.47054186846928,
Algeria,DZA,1999,,749000.0,,903000.0,,48640671734.9711,2.64551113392799,
East Asia & Pacific (excluding high income),EAP,1999,,101735448.250161,9.39316451898135,25027607.5740809,6.50071581805144,1577918021912.85,4.29072851723813,3.59907821091278
Early-demographic dividend,EAR,1999,,181005514.432148,,198868894.267048,6.16282478023835,3090347267190.7,5.02321078556241,
East Asia & Pacific,EAS,1999,,147606094.98307,4.88320474982241,119896552.492778,7.42680422395143,7745113386044.47,1.98382427234186,3.77585633076695
Europe & Central Asia (excluding high income),ECA,1999,,53587391.3141023,,,,384142293366.911,20.938173814012,10.6344504315394
Europe & Central Asia,ECS,1999,239023295299.942,706815710.672398,7.97984412910195,431290829.636164,8.50907811575598,10686910522225.9,2.36481836111807,10.3875081368802
Ecuador,ECU,1999,377000000.0,518000.0,7.0533208606174,386000.0,9.14800038968106,19645272636.3182,52.2420051858225,13.96
"Egypt, Arab Rep.",EGY,1999,4361000000.0,4797000.0,29.6058437767308,,5.63463682498855,90710704806.8416,3.07949912638332,7.95
Euro area,EMU,1999,166059157884.909,,8.24855607871506,213458179.760061,8.69346421945326,7148860287676.91,1.8991144190705,10.4888579341097
Eritrea,ERI,1999,28000000.0,57000.0,41.0344162769681,,,688918537.115555,,
Spain,ESP,1999,,72040000.0,,,,634394904386.874,2.31034813987067,15.475
Estonia,EST,1999,702000000.0,3181000.0,21.7800403795474,1780000.0,7.22674209137976,5756912265.75809,3.29611089718909,11.573
Ethiopia,ETH,1999,176000000.0,115000.0,18.7039899579734,,3.07530233751224,7892973531.80045,7.94144864137325,3.714
European Union,EUU,1999,191095627788.803,622202305.739753,8.19720421254919,312875355.598599,8.61851797580823,7936013301296.29,2.15717918055059,10.192736775132
Fragile and conflict affected situations,FCS,1999,,12500227.5806909,3.44447010741481,,6.09888010981826,400171061469.108,4.84353158826397,
Finland,FIN,1999,2236000000.0,2454000.0,4.68274830139506,,6.88467055057492,135234241918.147,1.16223155669444,11.693
Fiji,FJI,1999,365000000.0,544000.0,34.3418899875801,89000.0,7.8612436115843,1936459986.03795,1.96867366000919,
France,FRA,1999,44551000000.0,,11.0499514872141,,8.65962815251931,1486915879701.93,0.537141639134645,11.981
Faroe Islands,FRO,1999,,,,,,1127684827.35686,,
"Micronesia, Fed. Sts.",FSM,1999,13899999.6185303,16100.0003814697,,,,220140500.0,,
Gabon,GAB,1999,143000000.0,262000.0,5.15263170083735,187000.0,10.9980718077357,4662992036.2073,-1.93660397603626,
United Kingdom,GBR,1999,,25394000.0,,53881000.0,,1687830448147.55,1.7529508005142,6.042
Georgia,GEO,1999,131000000.0,384000.0,23.9751098096633,373000.0,12.4149347066397,2800025882.71672,19.1926758218895,13.8
Ghana,GHA,1999,325000000.0,373000.0,13.1403388185825,,3.84625181487048,7718109982.26093,4.86539785077528,10.1
Gibraltar,GIB,1999,,,,,,,,
Guinea,GIN,1999,5800000.19073486,27000.0,0.774521329907411,,3.0652461315484,5046806782.54761,,
"Gambia, The",GMB,1999,,96000.0,,,,814724032.065735,3.8123720536602,
Guinea-Bissau,GNB,1999,,,,,,579365780.135134,-2.08630513223527,
Equatorial Guinea,GNQ,1999,10000000.0,,,,,621117885.668503,0.372266170311928,
Greece,GRC,1999,8839000000.0,12606000.0,35.3640949926801,,11.2473113803975,137131371955.307,2.6366330602198,12.138
Grenada,GRD,1999,88000000.0,379000.0,40.3635437016902,,,482009370.37037,0.577427638677119,
Greenland,GRL,1999,,,,,,1131555107.04907,,9.03
Guatemala,GTM,1999,374000000.0,823000.0,10.7468176201833,485000.0,4.30587672434415,18318412251.3642,5.2136105860112,
Guam,GUM,1999,,1162000.0,,,,,,13.95
Guyana,GUY,1999,109000000.0,75000.0,16.2856715971911,,11.7680826636051,694754988.258295,7.53821939851393,
High income,HIC,1999,402119156859.716,886282224.338507,7.41727911768253,610109478.390196,7.60302609956815,27417627997191.3,2.13510866611858,7.82288191487276
"Hong Kong SAR, China",HKG,1999,7343000000.0,11328000.0,3.93027426522633,53144000.0,7.36730482256391,165768095391.557,-4.00943396226445,6.25
Honduras,HND,1999,214000000.0,428000.0,9.59469153515064,,5.51128818061089,6414520529.61672,11.66374097913,3.85
Heavily indebted poor countries (HIPC),HPC,1999,3134471547.33111,7115930.80243459,11.4728307306287,,6.98849188439774,167809429290.768,3.59889816353238,
Croatia,HRV,1999,2595000000.0,29215000.0,31.9626615732651,,8.26363857691421,23777026779.3004,4.01913875598086,13.559
Haiti,HTI,1999,135000000.0,386000.0,25.4112863757859,,,4153725883.84082,3.00439421550734,7.2
Hungary,HUN,1999,3622000000.0,28803000.0,13.1402379220679,10622000.0,5.4793817018987,49073380173.7159,9.99774409303368,6.929
IBRD only,IBD,1999,,437116871.89005,9.47476173422489,291678524.111705,6.25348071989243,5398377166740.39,5.01997014825272,6.02503739643859
IDA & IBRD total,IBT,1999,,474501178.843432,9.52097520407595,374300252.185753,6.18190396524813,5850214145431.36,4.46435467675891,
IDA total,IDA,1999,8608755550.83429,21509371.0779447,10.1938391857839,,5.39498116796607,451744378688.116,4.14267137284048,
IDA blend,IDB,1999,3349137564.25543,,8.10049687673024,,5.14947540909926,184664063761.002,4.14263718082171,
Indonesia,IDN,1999,,4728000.0,,,,140001351215.462,20.47783111264,6.358
IDA only,IDX,1999,5073233525.35139,10993029.8643652,,,5.54539497932199,268179387599.108,4.57803015362165,
Isle of Man,IMN,1999,,,,,,1573742112.92671,,0.8
India,IND,1999,,2482000.0,,4115000.0,,458821052615.79,4.66982038037594,
Not classified,INX,1999,,,,,,,,
Ireland,IRL,1999,3403000000.0,6403000.0,,3576000.0,,98893958262.6438,1.62988605221407,5.804
"Iran, Islamic Rep.",IRN,1999,559000000.0,1321000.0,2.51281129191765,,4.01510383889238,113848450088.686,20.0707078146866,
Iraq,IRQ,1999,,30000.0,,,,36881601583.8194,12.5777623393436,
Iceland,ISL,1999,380000000.0,281000.0,13.0412750545675,257000.0,13.2650671510346,8982047589.4895,3.23183260906467,2.178
Israel,ISR,1999,4800000000.0,2566000.0,12.7088352881993,3203000.0,8.35505173224643,121166507717.951,5.18102372034954,11.183
Italy,ITA,1999,29570000000.0,59521000.0,10.1884120129302,42390000.0,7.28281860995337,1255004736463.98,1.66345995007714,11.681
Jamaica,JAM,1999,1486000000.0,2013000.0,42.7318475916607,,6.38626952053086,8887057997.36228,5.95423949113006,15.74
Jordan,JOR,1999,1016000000.0,3231000.0,28.7528040554026,1561000.0,10.741513327115,8149929478.13822,0.606256567779427,
Japan,JPN,1999,5715000000.0,4438000.0,1.24217118551517,16358000.0,10.5426488865273,4635982224063.88,-0.341296928327554,4.677
Kazakhstan,KAZ,1999,394000000.0,394000.0,5.69265445298503,,6.74153973804303,16870817181.7799,8.29602765342565,13.46
Kenya,KEN,1999,1211000000.0,969000.0,28.2460215247839,,,12896010459.3711,5.74200109520484,10.004
Kyrgyz Republic,KGZ,1999,18000000.0,165000.0,3.41230694556964,,3.82602637176802,1249061487.01457,37.0309258369344,
Cambodia,KHM,1999,240000000.0,368000.0,16.850786907405,49000.0,2.17672374634246,3517242477.2548,4.00820702088782,0.039
Kiribati,KIR,1999,2799999.95231628,20299.9992370605,,,,77323948.4525998,,
St. Kitts and Nevis,KNA,1999,69000000.0,226000.0,47.2542802790106,,,406595484.373262,3.36303630363045,
"Korea, Rep.",KOR,1999,8337000000.0,4660000.0,5.07557659572914,4342000.0,4.03212050342349,497514040642.262,0.81295725444637,6.342
Kuwait,KWT,1999,342000000.0,1884000.0,2.48099077758979,1209000.0,21.6675428476621,30122365849.2518,2.99081035923166,0.7
Latin America & Caribbean (excluding high income),LAC,1999,24370717865.1187,131143148.537439,7.8829873559968,135650716.246936,5.88402276091197,1810330944033.68,5.03602904251894,9.63285000653512
Lao PDR,LAO,1999,86000000.0,614000.0,22.355081881986,,3.42741935483871,1454430642.44959,125.27212839928,
Lebanon,LBN,1999,673000000.0,673000.0,,,,17391056369.2265,,
Liberia,LBR,1999,,,,,,441800000.0,,
Libya,LBY,1999,39000000.0,965000.0,0.53170546664903,,10.8491536401809,35975860857.1164,2.64862252295818,
St. Lucia,LCA,1999,263000000.0,666000.0,71.148740043084,,,921851851.851852,3.50379784108942,18.09
Latin America & Caribbean,LCN,1999,35440720363.5849,154422845.400535,8.27732204664381,140035995.897865,5.96970840735046,2107777544518.75,3.45439793587507,9.72586092279094
Least developed countries: UN classification,LDC,1999,3238256831.212,7950686.09262787,11.0245458623139,,5.18753972596653,197361211397.511,5.77736898687895,
Low income,LIC,1999,1349387976.8274,,,,,100712307153.977,1.66610532426106,
Liechtenstein,LIE,1999,,60000.0,,,,2664105901.18863,,1.78
Sri Lanka,LKA,1999,414000000.0,465000.0,7.44537122052094,497000.0,5.03013529951607,15656327859.5696,4.69170563048438,8.88
Lower middle income,LMC,1999,,57315220.1757628,,,,1122826614705.03,4.69170563048438,
Low & middle income,LMY,1999,,346142020.434522,9.17247551852733,294310725.042202,6.09273178970511,5224983090942.07,4.68076300543016,
Lesotho,LSO,1999,23100000.3814697,308000.0,10.146718158786,,1.53993364816041,912773681.050642,,27.27
Late-demographic dividend,LTE,1999,,266217659.662492,10.2396719496068,123988966.30955,6.92463009947979,3112218567617.28,3.38800754204006,5.36372426127128
Lithuania,LTU,1999,591000000.0,4454000.0,16.1794910578198,,7.36538961332757,11022095813.552,0.727550626557424,13.388
Luxembourg,LUX,1999,,863000.0,,809000.0,,21899317598.8414,1.02519676474932,2.39
Latvia,LVA,1999,153000000.0,1738000.0,5.77794561933535,2256000.0,9.61279310035037,7324192889.74297,2.36481836111807,13.79
"Macao SAR, China",MAC,1999,2598000000.0,7444000.0,,,,6547670439.26,-3.20416248186588,6.348
St. Martin (French part),MAF,1999,,,,,,,,
Morocco,MAR,1999,2177000000.0,4088000.0,24.6893853464198,1545000.0,5.69297115651861,46266428648.1433,0.684782608695643,13.94
Monaco,MCO,1999,,278000.0,,,,2907118641.17756,,
Moldova,MDA,1999,49000000.0,14000.0,8.88985649231662,,9.44493874478133,1170782957.37443,39.2559806891746,11.14
Madagascar,MDG,1999,137000000.0,,18.7712389477012,,13.0597554915563,4277903780.29131,9.92953399348781,
Maldives,MDV,1999,,430000.0,,42000.0,12.5532289011648,589239753.610875,2.95370836069129,
Middle East & North Africa,MEA,1999,,,13.2336584708962,,8.25039769991024,888446061820.489,2.64862252295818,
Mexico,MEX,1999,8135000000.0,99869000.0,5.49306538140146,117383000.0,3.31871409519047,631249359702.389,16.5856169707538,2.598
Marshall Islands,MHL,1999,2900000.09536743,4599.99990463257,,,,113352100.0,,
Middle income,MIC,1999,,339709726.834185,9.16802293855404,274313571.394258,6.09445460199289,5124148590761.99,4.86192267490097,
North Macedonia,MKD,1999,80000000.0,181000.0,7.36066591664086,,2.7203266215404,3863619284.77939,-1.27928657572626,32.4
Mali,MLI,1999,36000000.0,82000.0,5.2862471401281,,6.64872341405033,3440724709.59258,-1.20190368637502,
Malta,MLT,1999,841000000.0,1402000.0,25.9981173736659,,6.71179132455168,4111890472.76062,2.13476888806386,5.3
Myanmar,MMR,1999,222000000.0,435000.0,12.414948991979,,1.06216801789363,8486832800.88498,18.4010433741609,
Middle East & North Africa (excluding high income),MNA,1999,17543367792.9235,23817985.9770455,15.9888247351982,,5.82405483088489,449128387154.882,2.6901248581158,
Montenegro,MNE,1999,,,,,,828950327.353261,,
Mongolia,MNG,1999,43000000.0,160000.0,8.18679869609581,,6.89856879164497,1057408588.68269,7.56494150307371,
Northern Mariana Islands,MNP,1999,,502000.0,,,,,,
Mozambique,MOZ,1999,,,,,,6285219691.22462,,
Mauritania,MRT,1999,,24000.0,,,,1985922775.53351,4.07417613596754,
Mauritius,MUS,1999,718000000.0,600000.0,27.3543449859825,154000.0,7.40458322250066,4402193195.46945,6.90914624866776,
Malawi,MWI,1999,42000000.0,254000.0,8.43923218579077,,6.84457506069258,2584478924.06081,44.8041642861674,
Malaysia,MYS,1999,4403000000.0,7931000.0,4.58800653400311,26067000.0,3.12847354712411,79148421052.6316,2.74456130240604,3.43
North America,NAC,1999,139171367153.035,125400000.0,9.62175844483403,111304509.810631,6.11866251025308,10312908629271.1,1.96143507401638,4.55496250300763
Namibia,NAM,1999,,694000.0,,,,3868551730.39163,,
New Caledonia,NCL,1999,,100000.0,,69000.0,,3647802049.80911,,
Niger,NER,1999,25100000.3814697,39000.0,7.81903555260076,,7.36526787799666,2537789820.69295,-2.30212503849648,
Nigeria,NGA,1999,99000000.0,1425000.0,0.714497899839461,,5.30511045359227,59145077039.1437,6.61837339479756,
Nicaragua,NIC,1999,128000000.0,530000.0,15.2177686471166,452000.0,5.60802833530106,4856026259.07657,,
Netherlands,NLD,1999,12451000000.0,9874000.0,5.14595501853017,14184000.0,6.02734851865968,447778514140.155,2.15717918055059,3.623
Norway,NOR,1999,2750000000.0,3223000.0,4.40086068027495,2271000.0,10.1947382427878,162383706021.13,2.36596736596734,3.247
Nepal,NPL,1999,229000000.0,492000.0,18.068554825959,125000.0,6.79705556739603,5033642384.10596,7.4511126095755,1.85
Nauru,NRU,1999,,,,,,27328612.6080962,,
New Zealand,NZL,1999,2234000000.0,1607000.0,,1185000.0,,58762260625.8758,-0.114267129777524,7.023
OECD members,OED,1999,391952446660.29,883337847.075084,7.64982870763221,642904827.755098,7.60726060720295,27081535073158.7,2.17260318876209,7.17564709994097
Oman,OMN,1999,350000000.0,,4.57498401730236,,9.69646575951164,17832769830.9493,,
Other small states,OSS,1999,,20547389.6381497,24.3792188359259,,9.08476782441289,54539803687.0758,3.29611089718909,
Pakistan,PAK,1999,492000000.0,432000.0,5.50027948574623,,3.8651102464332,62973857068.5113,4.14263718082171,5.35
Panama,PAN,1999,506000000.0,555000.0,7.11833886669293,221000.0,3.34314332920281,11660704800.0,1.24718256949636,11.75
Peru,PER,1999,911000000.0,,12.2177539464049,513000.0,7.52280070960632,50187324567.883,3.46965996293019,4.367
Philippines,PHL,1999,2652000000.0,2171000.0,11.2472963229993,1755000.0,5.5715935334873,85640171045.1254,5.93904901780808,9.809
Palau,PLW,1999,,55000.0,,,,144206500.0,,
Papua New Guinea,PNG,1999,,,,58000.0,,3477038204.01733,14.9321817407701,
Poland,POL,1999,6498000000.0,89118000.0,16.9117455690602,55097000.0,7.31089534482097,170704452714.673,7.15407291179862,12.29
Pre-demographic dividend,PRE,1999,3563295292.887,7482302.79196999,7.08952266248378,,6.38905541772811,244879553665.81,3.8123720536602,
Puerto Rico,PRI,1999,2139000000.0,4221000.0,,1134000.0,,57841000000.0,,11.81
"Korea, Dem. People's Rep.",PRK,1999,,,,,,,,
Portugal,PRT,1999,6047000000.0,11632000.0,17.8897420509742,,5.88918231100461,127470385557.184,2.34009490312169,4.579
Paraguay,PRY,1999,95000000.0,6569000.0,2.48969909197599,281000.0,5.80686557587424,8837070235.51892,6.75226586102725,5.343
West Bank and Gaza,PSE,1999,377000000.0,300000.0,36.2701546287969,,8.43852126343784,4271200000.0,5.54439180368747,
Pacific island small states,PSS,1999,540277889.579339,,31.6698661209915,,7.07542826959686,3744260403.08438,,
Post-demographic dividend,PST,1999,374758113121.279,702246548.439962,7.34017964939915,526129612.269729,7.59154631772883,25955128886911.1,1.6117611762866,6.96107705880904
French Polynesia,PYF,1999,394000000.0,236000.0,,,,3911602004.14205,,
Qatar,QAT,1999,,,,,,12393131868.1319,2.18170320404723,
Romania,ROU,1999,306000000.0,5224000.0,3.15887271601115,6274000.0,3.82176980087508,35953156753.739,45.8037811326363,6.239
Russian Federation,RUS,1999,,18820000.0,,12631000.0,,195907128350.934,85.7464940960636,13.036
Rwanda,RWA,1999,21000000.0,,,,,2157108262.84452,-2.40593209742259,
South Asia,SAS,1999,,4705756.65588704,,6739016.03899616,,597995276003.899,4.69170563048438,
Saudi Arabia,SAU,1999,,,,,,161717066666.667,-1.33376350229422,4.346
Sudan,SDN,1999,2000000.0,39000.0,0.232099338516885,,2.28623685413809,10682028339.6898,17.1664454201761,
Senegal,SEN,1999,183000000.0,,12.6836127702993,,7.54329965677585,6592834932.80876,0.827250608272509,
Singapore,SGP,1999,5089000000.0,6958000.0,3.3368799572395,3971000.0,3.05946630511628,86286849754.8905,0.0167098337370801,4.85
Solomon Islands,SLB,1999,9699999.80926514,,4.39172499006779,,5.77114294803762,488024514.369359,8.02036839296841,
Sierra Leone,SLE,1999,6000000.0,,20.95594384476,13000.0,23.5472979072534,669386623.951402,,
El Salvador,SLV,1999,408000000.0,,18.3783783783784,787000.0,5.4541584632576,11284197000.0,0.514827130192979,7.3
San Marino,SMR,1999,,3148000.0,,,,1109473367.84318,,3.0
Somalia,SOM,1999,,,,,,3045751527.66005,,
Serbia,SRB,1999,,,,,,20878694850.5767,42.4539054642972,13.7
